毛豆,3.50,4.00,4.50,普通,斤,2021-06-01
豌豆,1.00,1.15,1.30,普通,斤,2021-06-01
蚕豆,1.20,1.30,1.40,普通,斤,2021-06-01
荷兰豆,5.00,5.50,6.00,冀\云,斤,2021-06-01
玉米,1.50,1.65,1.80,普通,斤,2021-06-01
花生,4.50,5.00,5.50,广东\海南,斤,2021-06-01
苦瓜,1.80,1.90,2.00,鲁,斤,2021-06-01
丝瓜,1.60,1.90,2.20,豫\鲁,斤,2021-06-01
丝瓜,3.00,3.40,3.80,短,斤,2021-06-01
瓠子,1.80,1.90,2.00,普通,斤,2021-06-01
西葫芦,0.70,0.90,1.10,滇/鲁,斤,2021-06-01
佛手瓜,2.50,2.75,3.00,普通,斤,2021-06-01
金丝南瓜,0.80,0.90,1.00,琼,斤,2021-06-01
南北瓜,0.90,0.95,1.00,桂,斤,2021-06-01
尖椒,1.20,1.50,1.80,冀晋/鲁新,斤,2021-06-01
螺丝椒,1.80,2.05,2.30,普通,斤,2021-06-01
柿子椒,1.40,1.60,1.80,\鲁新,斤,2021-06-01
线椒,2.00,2.50,3.00,\鲁琼新,斤,2021-06-01
杭椒,2.00,2.50,3.00,普通,斤,2021-06-01
小米椒,4.00,4.50,5.00,滇,斤,2021-06-01
